tstamp,Labor 45 or Less (Coalition 55 or more),Labor 46 - Coalition 54,Labor 47 - Coalition 53,Labor 48 - Coalition 52,Labor 49 - Coalition 51,Labor 50 - Coalition 50,Labor 51 - Coalition 49,Labor 52 - Coalition 48,Labor 53 - Coalition 47,Labor 54 - Coalition 46,Labor 55 or More (Coalition 45 or less)
2025-03-31 18:16:57.363374,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 18:19:06.239681,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 18:19:32.246410,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 18:38:12.356290,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 18:39:28.325745,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 19:27:04.636682,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 20:10:37.980291,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 21:05:05.953462,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 21:58:41.561278,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-03-31 23:05:04.810825,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-04-01 06:05:04.813512,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
2025-04-01 06:38:26.696438,0.03722980727716897,0.05584471091575346,0.07107508662004985,0.09772824410256856,0.1421501732400997,0.17373910062678852,0.1421501732400997,0.11168942183150692,0.07818259528205485,0.06014045790927296,0.03007022895463648
