tstamp,JD Vance,Alexandria Ocasio-Cortez,Jon Ossoff,Gavin Newsom,Marco Rubio,Pete Buttigieg
2025-06-01 07:05:04.270774,0.1664090462214068,0.05200282694418962,0.008210972675398361,0.04800260948694427,,0.04457385166644825
2025-06-02 07:05:04.661797,0.16757093452930055,0.052365917040406426,0.008268302690590488,0.04833776957575978,,0.04488507174891979
2025-06-02 08:28:59.766713,0.16757093452930055,0.052365917040406426,0.008268302690590488,0.04833776957575978,,0.04488507174891979
2025-06-02 08:31:38.087805,0.16757093452930055,0.052365917040406426,0.008268302690590488,0.04833776957575978,,0.04488507174891979
2025-06-03 07:05:06.189580,0.17370996824555704,0.05211299047366711,0.008228366916894807,0.048104298898769646,,0.04466827754885752
2025-06-04 07:05:05.230055,0.17370996824555704,0.05211299047366711,0.008228366916894807,0.048104298898769646,,0.04466827754885752
2025-06-05 07:05:04.889477,0.1735326485345776,0.05205979456037327,0.0082199675621642,0.0480551949788061,,0.04462268105174852
2025-06-06 07:05:05.534501,0.16176276034358147,0.053920920114527156,0.008513829491767447,0.049773157028794306,,0.04621793152673757
2025-06-07 07:05:05.268143,0.17070601924117249,0.0533456310128664,0.008422994370452588,0.0492421209349536,,0.04572482658245691
2025-06-08 07:05:06.136422,0.1691912310483693,0.05767882876648954,0.008348251531991906,0.05287225970261541,,0.04531907974509892
2025-06-09 07:05:05.227713,0.16960897684985535,0.057821242107905235,0.008368863989302073,0.053002805265579794,,0.045430975941925536
2025-06-09 10:48:53.334727,0.16960897684985535,0.057821242107905235,0.008368863989302073,0.053002805265579794,,0.045430975941925536
2025-06-10 07:05:04.736558,0.16960897684985535,0.057821242107905235,0.008368863989302073,0.053002805265579794,,0.045430975941925536
2025-06-11 07:05:05.014972,0.16782988589785763,0.057214733828815104,0.00828107989627587,0.06293620721169661,,0.044954433722640436
2025-06-12 07:05:04.288363,0.16898777097035714,0.05760946737625812,0.008338212383405779,0.06337041411388393,,0.045264581509917086
2025-06-13 07:05:05.936847,0.16759386848018615,0.06284770068006981,0.008269434300009185,0.07393847138831741,,0.04489121477147843
2025-06-14 07:05:04.691163,0.16809694020319213,0.06303635257619705,0.008294256917920665,0.07416041479552594,,0.04202423505079803
2025-06-15 07:05:04.405384,0.16859374310846417,0.06322265366567406,0.00831877021916764,0.07437959254785184,,0.04214843577711604
2025-06-15 08:40:34.500801,0.16859374310846417,0.06322265366567406,0.00831877021916764,0.07437959254785184,,0.04214843577711604
2025-06-16 07:05:04.768025,0.16859374310846417,0.06322265366567406,0.00831877021916764,0.07437959254785184,,0.04214843577711604
2025-06-16 18:14:01.214957,0.16859374310846417,0.06322265366567406,0.00831877021916764,0.07437959254785184,,0.04214843577711604
2025-06-16 18:16:33.396904,0.16859374310846417,0.06322265366567406,0.00831877021916764,0.07437959254785184,,0.04214843577711604
2025-06-17 07:05:05.338936,0.17439341413537734,0.06278162908873584,0.008260740669570504,0.0738607401043951,,0.04185441939249056
2025-06-18 07:05:04.884073,0.17069935886830043,0.06401225957561266,0.008422665733633244,0.07530854067719137,,0.04267483971707511
2025-06-18 18:24:15.692569,0.17069935886830043,0.06401225957561266,0.008422665733633244,0.07530854067719137,,0.04267483971707511
2025-06-19 07:05:06.329263,0.17069935886830043,0.06401225957561266,0.008422665733633244,0.07530854067719137,,0.04267483971707511
2025-06-19 12:42:17.318796,0.17069935886830043,0.06401225957561266,0.008422665733633244,0.07530854067719137,,0.04267483971707511
2025-06-20 07:05:05.221673,0.17069935886830043,0.06401225957561266,0.008422665733633244,0.07530854067719137,,0.04267483971707511
2025-06-21 07:05:05.314541,0.17264965793644188,0.0647436217261657,0.008518897595548119,0.0647436217261657,,0.04316241448411047
2025-06-22 07:05:07.326203,0.17408615386998086,0.06528230770124283,0.008589777329110896,0.06528230770124283,,0.036267948722912675
2025-06-23 07:05:06.214344,0.17432870673174602,0.06537326502440476,0.008601745397947993,0.06537326502440476,,0.03631848056911375
2025-06-24 07:05:05.320795,0.17624903588730545,0.055077823714782946,0.008696498481281519,0.06609338845773954,,0.03671854914318863
2025-06-25 07:05:05.117787,0.1780734420232346,0.051367339045163836,0.008786518520883286,0.060706855235193626,,0.03709863375484054
2025-06-25 14:29:17.149150,0.1780734420232346,0.051367339045163836,0.008786518520883286,0.060706855235193626,,0.03709863375484054
2025-06-26 07:05:04.688327,0.18410176244963078,0.05523052873488923,0.008720609800245667,0.060251485892606434,,0.03682035248992615
2025-06-28 06:13:49.587807,0.18410176244963078,0.05523052873488923,0.008720609800245667,0.060251485892606434,,0.03682035248992615
2025-06-28 07:05:05.846286,0.18410176244963078,0.05523052873488923,0.008720609800245667,0.060251485892606434,,0.03682035248992615
2025-06-29 07:05:04.545417,0.1830125354996403,0.059895011618064105,0.008669014839456646,0.059895011618064105,,0.043923008519913674
2025-06-30 05:39:05.685443,0.1830125354996403,0.059895011618064105,0.008669014839456646,0.059895011618064105,,0.043923008519913674
2025-06-30 07:05:04.806487,0.1830125354996403,0.059895011618064105,0.008669014839456646,0.059895011618064105,,0.043923008519913674
2025-06-30 20:44:22.169041,0.1832698809133488,0.05997923375345961,0.008681204885369153,0.05997923375345961,,0.043984771419203705
2025-07-01 06:33:47.522221,0.1832698809133488,0.05997923375345961,0.008681204885369153,0.05997923375345961,,0.043984771419203705
2025-07-01 07:05:04.278534,0.1832698809133488,0.05997923375345961,0.008681204885369153,0.05997923375345961,,0.043984771419203705
2025-07-02 07:05:04.442570,0.18344756648592925,0.06003738539539503,0.008689621570386122,0.06003738539539503,,0.04402741595662302
2025-07-03 07:05:07.255234,0.18318972217336196,0.059952999984009374,0.008677407892422408,0.059952999984009374,,0.043965533321606874
2025-07-04 07:05:04.772717,0.18318972217336196,0.059952999984009374,0.008677407892422408,0.059952999984009374,,0.043965533321606874
2025-07-05 07:05:06.643390,0.18209799009364475,0.059595705848829186,0.008625694267593697,0.0655552764337121,,0.043703517622474736
2025-07-06 07:05:05.656493,0.17609674502312872,0.060032981257884796,0.008688984129430694,0.06603627938367328,,0.04402418625578218
2025-07-07 07:05:04.500339,0.1754868241312086,0.05982505368109385,0.008658889348579371,0.06927111478863497,,0.04387170603280215
2025-07-07 09:29:00.288198,0.1754868241312086,0.05982505368109385,0.008658889348579371,0.06927111478863497,,0.04387170603280215
2025-07-07 19:55:03.696496,0.1754868241312086,0.05982505368109385,0.008658889348579371,0.06927111478863497,,0.04387170603280215
2025-07-07 19:56:51.020497,0.1754868241312086,0.05982505368109385,0.008658889348579371,0.06927111478863497,,0.04387170603280215
2025-07-08 07:05:04.895503,0.1761131749595545,0.06003858237257541,0.008689794817083282,0.06951835853666626,,0.044028293739888626
2025-07-09 07:05:04.683979,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-09 07:12:14.861214,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-09 07:13:32.483615,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-10 07:05:04.449333,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-11 07:05:05.605607,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-12 07:05:04.486553,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-13 07:05:05.376477,0.1766995037024063,0.06023846717127488,0.00871872551163189,0.06974980409305512,,0.04417487592560158
2025-07-14 07:05:04.926014,0.17821564882459184,0.05569239025768495,0.008793535303844992,0.06683086830922196,,0.04455391220614796
2025-07-14 08:30:02.388542,0.17821564882459184,0.05569239025768495,0.008793535303844992,0.06683086830922196,,0.04455391220614796
2025-07-14 09:14:44.282155,0.17821564882459184,0.05569239025768495,0.008793535303844992,0.06683086830922196,,0.04455391220614796
2025-07-14 11:40:13.075054,0.17821564882459184,0.05569239025768495,0.008793535303844992,0.06683086830922196,,0.04455391220614796
2025-07-15 07:05:05.335874,0.17898241486288466,0.051629542748909046,0.008831369154418652,0.06711840557358176,,0.044745603715721165
2025-07-16 07:05:06.883375,0.17898241486288466,0.051629542748909046,0.008831369154418652,0.06711840557358176,,0.044745603715721165
2025-07-16 08:41:28.120954,0.17898241486288466,0.051629542748909046,0.008831369154418652,0.06711840557358176,,0.044745603715721165
2025-07-17 07:05:05.745825,0.1791929741541174,0.0516902810059954,0.008841758593130791,0.06719736530779402,,0.04479824353852935
2025-07-17 12:48:22.202135,0.1791929741541174,0.0516902810059954,0.008841758593130791,0.06719736530779402,,0.04479824353852935
2025-07-18 07:05:05.139840,0.16989617583481326,0.052275746410711775,0.00894190399130596,0.06795847033392531,,0.045305646889283534
2025-07-19 06:58:03.743174,0.1797990958359686,0.0518651237988371,0.008871665912958977,0.06742466093848823,,0.04494977395899215
2025-07-19 07:05:05.675700,0.1797990958359686,0.0518651237988371,0.008871665912958977,0.06742466093848823,,0.04494977395899215
2025-07-20 07:05:04.893133,0.17790103157176987,0.05559407236617808,0.008778011426238646,0.07412542982157078,,0.04447525789294247
2025-07-21 06:08:36.671816,0.17854817275881893,0.05579630398713091,0.008809942734810144,0.07439507198284122,,0.04463704318970473
2025-07-21 07:05:05.080333,0.17854817275881893,0.05579630398713091,0.008809942734810144,0.07439507198284122,,0.04463704318970473
2025-07-21 10:13:47.107463,0.17854817275881893,0.05579630398713091,0.008809942734810144,0.07439507198284122,,0.04463704318970473
2025-07-22 07:05:06.733675,0.17804254134589137,0.055638294170591046,0.008784993816409114,0.07418439222745474,,0.04768996643193518
2025-07-23 07:05:05.427089,0.1754582542093689,0.05483070444042777,0.008657479648488595,0.07310760592057036,,0.04699774666322381
2025-07-24 07:05:04.806606,0.1754582542093689,0.05483070444042777,0.008657479648488595,0.07310760592057036,,0.04699774666322381
2025-07-25 07:05:05.540377,0.17635984441586985,0.05511245137995933,0.008701966007362,0.07348326850661244,,0.04723924403996514
2025-07-26 07:05:05.687553,0.17660877901297026,0.05519024344155321,0.00871424896445577,0.07358699125540427,,0.04730592294990275
2025-07-27 07:05:04.706598,0.17719751591172384,0.05537422372241369,0.008743298482486372,0.0738322982965516,,0.04746362033349745
2025-07-28 05:44:45.749661,0.1774488225818242,0.05545275705682006,0.008755698482655798,0.07393700940909341,,0.04753093462013148
