tstamp,No,Yes
2025-03-21 07:05:06.735017,0.6792452830188679,0.32075471698113206
2025-03-21 10:56:18.152853,0.6792452830188679,0.32075471698113206
2025-03-21 15:24:31.128858,0.6792452830188679,0.32075471698113206
2025-03-23 06:19:42.914448,0.6840855106888362,0.31591448931116395
2025-03-23 12:12:39.865025,0.6840855106888362,0.31591448931116395
2025-03-23 12:29:29.046888,0.6840855106888362,0.31591448931116395
2025-03-23 12:35:08.242230,0.6840855106888362,0.31591448931116395
2025-03-24 18:39:49.711323,0.6976744186046512,0.3023255813953489
2025-03-24 20:52:53.142030,0.6976744186046512,0.3023255813953489
2025-03-25 07:08:15.313743,0.6976744186046512,0.3023255813953489
2025-03-25 09:25:00.401161,0.6976744186046512,0.3023255813953489
2025-03-25 20:05:05.929264,0.6840855106888362,0.31591448931116395
2025-03-26 07:05:05.690619,0.6840855106888362,0.31591448931116395
2025-03-26 20:05:05.794580,0.6840855106888362,0.31591448931116395
2025-03-27 07:05:05.607958,0.6840855106888362,0.31591448931116395
2025-03-27 19:47:26.157417,0.6840855106888362,0.31591448931116395
2025-03-28 07:05:05.249022,0.6928406466512702,0.3071593533487298
2025-03-28 08:24:22.560640,0.6928406466512702,0.3071593533487298
2025-03-28 09:47:30.276031,0.6928406466512702,0.3071593533487298
2025-03-28 10:10:49.932888,0.6928406466512702,0.3071593533487298
2025-03-28 10:28:58.099079,0.6928406466512702,0.3071593533487298
2025-03-28 12:00:52.046773,0.6928406466512702,0.3071593533487298
2025-03-28 13:13:16.278530,0.6928406466512702,0.3071593533487298
2025-03-28 13:55:27.092207,0.6928406466512702,0.3071593533487298
2025-03-28 14:13:42.543531,0.6928406466512702,0.3071593533487298
2025-03-28 14:17:31.550150,0.6928406466512702,0.3071593533487298
2025-03-28 14:29:54.558909,0.6928406466512702,0.3071593533487298
2025-03-28 15:08:47.159079,0.6928406466512702,0.3071593533487298
2025-03-28 16:08:02.902881,0.7142857142857143,0.2857142857142857
2025-03-28 16:23:10.588385,0.7142857142857143,0.2857142857142857
2025-03-28 16:25:58.753379,0.7142857142857143,0.2857142857142857
2025-03-28 17:17:13.429391,0.7142857142857143,0.2857142857142857
2025-03-28 17:17:21.768846,0.7142857142857143,0.2857142857142857
2025-03-28 17:17:46.242514,0.7142857142857143,0.2857142857142857
2025-03-28 17:17:54.287381,0.7142857142857143,0.2857142857142857
2025-03-28 19:13:51.715141,0.7142857142857143,0.2857142857142857
2025-03-28 21:05:05.427193,0.7205240174672489,0.27947598253275113
2025-03-29 06:05:04.965581,0.7205240174672489,0.27947598253275113
2025-03-29 09:05:08.498245,0.7205240174672489,0.27947598253275113
2025-03-29 12:05:05.717841,0.7205240174672489,0.27947598253275113
2025-03-29 15:05:05.319799,0.7205240174672489,0.27947598253275113
2025-03-29 17:05:04.206518,0.7205240174672489,0.27947598253275113
2025-03-29 21:05:05.013207,0.7205240174672489,0.27947598253275113
2025-03-30 06:05:04.751933,0.6976744186046512,0.3023255813953489
2025-03-30 09:05:05.166456,0.6976744186046512,0.3023255813953489
2025-03-30 10:40:57.024797,0.6976744186046512,0.3023255813953489
2025-03-30 10:42:33.925724,0.6976744186046512,0.3023255813953489
2025-03-30 10:48:36.898279,0.6976744186046512,0.3023255813953489
2025-03-30 11:31:48.174397,0.6976744186046512,0.3023255813953489
2025-03-30 11:54:18.408928,0.6976744186046512,0.3023255813953489
2025-03-30 12:05:04.945184,0.6976744186046512,0.3023255813953489
2025-03-30 12:08:20.788811,0.6976744186046512,0.3023255813953489
2025-03-30 14:16:50.744924,0.6976744186046512,0.3023255813953489
2025-03-30 15:05:06.087523,0.6976744186046512,0.3023255813953489
2025-03-30 16:04:33.223826,0.6976744186046512,0.3023255813953489
2025-03-30 16:28:30.436329,0.6976744186046512,0.3023255813953489
2025-03-30 16:40:10.573253,0.6976744186046512,0.3023255813953489
2025-03-30 16:51:51.797167,0.6976744186046512,0.3023255813953489
2025-03-30 17:05:04.117986,0.6976744186046512,0.3023255813953489
2025-03-30 19:05:38.808407,0.6976744186046512,0.3023255813953489
2025-03-30 19:18:05.818294,0.6976744186046512,0.3023255813953489
2025-03-30 20:10:48.528254,0.6976744186046512,0.3023255813953489
2025-03-30 21:05:04.979003,0.6976744186046512,0.3023255813953489
2025-03-31 05:43:10.401524,0.6976744186046512,0.3023255813953489
2025-03-31 06:02:09.562727,0.6976744186046512,0.3023255813953489
2025-03-31 06:03:03.973299,0.6976744186046512,0.3023255813953489
2025-03-31 06:05:04.660752,0.6976744186046512,0.3023255813953489
2025-03-31 09:05:07.568940,0.6976744186046512,0.3023255813953489
2025-03-31 18:16:57.363374,0.6705882352941177,0.32941176470588235
2025-03-31 18:19:06.239681,0.6705882352941177,0.32941176470588235
2025-03-31 18:19:32.246410,0.6705882352941177,0.32941176470588235
2025-03-31 18:38:12.356290,0.6705882352941177,0.32941176470588235
2025-03-31 18:39:28.325745,0.6705882352941177,0.32941176470588235
2025-03-31 19:27:04.636682,0.6705882352941177,0.32941176470588235
2025-03-31 20:10:37.980291,0.6705882352941177,0.32941176470588235
2025-03-31 21:05:05.953462,0.6705882352941177,0.32941176470588235
2025-03-31 21:58:41.561278,0.6705882352941177,0.32941176470588235
2025-03-31 23:05:04.810825,0.6705882352941177,0.32941176470588235
2025-04-01 06:05:04.813512,0.6705882352941177,0.32941176470588235
2025-04-01 06:38:26.696438,0.6705882352941177,0.32941176470588235
2025-04-01 07:03:26.745515,0.6705882352941177,0.32941176470588235
2025-04-01 07:17:07.098211,0.6705882352941177,0.32941176470588235
