tstamp,Angus Taylor,Sussan Ley,Andrew Hastie,Dan Tehan,Tim Wilson,Alex Hawke
2025-05-01 20:39:03.708922,0.4203197032343363,0.12819750948647257,0.08096684809671953,0.12819750948647257,,
2025-05-01 21:05:04.194743,0.4203197032343363,0.12819750948647257,0.08096684809671953,0.12819750948647257,,
2025-05-01 23:05:05.092294,0.4203197032343363,0.12819750948647257,0.08096684809671953,0.12819750948647257,,
2025-05-02 06:05:05.729817,0.4203197032343363,0.12819750948647257,0.08096684809671953,0.12819750948647257,,
2025-05-02 08:18:02.932434,0.4743940418489256,0.10978833539932278,0.09606479347440744,0.10246911303936793,,
2025-05-02 08:19:31.611325,0.4743940418489256,0.10978833539932278,0.09606479347440744,0.10246911303936793,,
2025-05-02 08:19:37.954027,0.4743940418489256,0.10978833539932278,0.09606479347440744,0.10246911303936793,,
2025-05-02 09:07:07.534865,0.506027179880479,0.10120543597609581,0.10843439568867408,0.0798990284021809,,
2025-05-02 10:05:04.323059,0.506027179880479,0.10120543597609581,0.10843439568867408,0.0798990284021809,,
2025-05-02 11:05:04.226342,0.506027179880479,0.10120543597609581,0.10843439568867408,0.0798990284021809,,
2025-05-02 12:05:04.882811,0.5042801804715517,0.09455253383841594,0.1260700451178879,0.07564202707073275,,
2025-05-02 13:05:05.018050,0.5042801804715517,0.09455253383841594,0.1260700451178879,0.07564202707073275,,
2025-05-02 14:05:05.100287,0.5063043395142687,0.08934782462016505,0.13808300168570964,0.0759456509271403,,
2025-05-02 15:05:04.364940,0.5063043395142687,0.08934782462016505,0.13808300168570964,0.0759456509271403,,
2025-05-02 16:05:04.645375,0.506853263593101,0.08944469357525311,0.1520559790779303,0.07602798953896515,,
2025-05-02 17:05:05.261196,0.506853263593101,0.08944469357525311,0.1520559790779303,0.07602798953896515,,
2025-05-02 18:05:06.434445,0.506853263593101,0.08944469357525311,0.1520559790779303,0.07602798953896515,,
2025-05-02 19:05:06.153386,0.506853263593101,0.08944469357525311,0.1520559790779303,0.07602798953896515,,
2025-05-02 20:05:04.817443,0.506853263593101,0.08944469357525311,0.1520559790779303,0.07602798953896515,,
2025-05-04 17:52:34.349538,0.25369048461406146,0.11708791597572069,0.28187831623784604,0.13837662797130626,,0.05854395798786034
2025-05-04 20:23:43.271349,0.2476083629639801,0.11809014233666744,0.2918577662313074,0.1395610773069706,,0.05117239501255588
2025-05-04 20:25:14.379953,0.2476083629639801,0.11809014233666744,0.2918577662313074,0.1395610773069706,,0.05117239501255588
2025-05-05 07:05:08.422231,0.2476083629639801,0.11809014233666744,0.2918577662313074,0.1395610773069706,,0.05117239501255588
2025-05-05 18:41:53.281138,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-05 18:44:29.443480,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-05 18:45:40.284215,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-05 18:47:18.838163,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-05 18:47:54.615106,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-06 06:34:05.547529,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-06 07:05:09.232599,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-06 08:25:37.296848,0.2771882035506213,0.3233862374757248,0.07055699726743087,0.18479213570041417,,0.06467724749514496
2025-05-06 16:57:06.903704,0.17174004091450681,0.49224852491419174,0.059448475701175445,0.15456603682305617,,0.042935010228626704
2025-05-06 16:58:14.569087,0.17174004091450681,0.49224852491419174,0.059448475701175445,0.15456603682305617,,0.042935010228626704
2025-05-06 20:41:03.207692,0.17174004091450681,0.49224852491419174,0.059448475701175445,0.15456603682305617,,0.042935010228626704
2025-05-07 07:05:08.275953,0.17174004091450681,0.49224852491419174,0.059448475701175445,0.15456603682305617,,0.042935010228626704
2025-05-07 18:17:06.447273,0.1678114870651018,0.4809883387216295,0.05034344611953054,0.13730030759871967,0.05034344611953054,0.03595960437109324
2025-05-08 07:05:09.821260,0.1678114870651018,0.4809883387216295,0.05034344611953054,0.13730030759871967,0.05034344611953054,0.03595960437109324
2025-05-08 19:03:47.023766,0.1685958761913631,0.48323658780963963,0.042148969047840774,0.12644690714352233,0.06897104026010309,0.032986149689614525
2025-05-09 06:31:54.182704,0.1685958761913631,0.48323658780963963,0.042148969047840774,0.12644690714352233,0.06897104026010309,0.032986149689614525
2025-05-09 07:05:08.031455,0.1685958761913631,0.48323658780963963,0.042148969047840774,0.12644690714352233,0.06897104026010309,0.032986149689614525
2025-05-09 10:08:57.904257,0.1685958761913631,0.48323658780963963,0.042148969047840774,0.12644690714352233,0.06897104026010309,0.032986149689614525
