tstamp,Republican Party,Democratic Party
2025-11-21 07:05:05.358950,0.6585365853658537,0.3414634146341463
2025-11-22 07:05:05.139303,0.6585365853658537,0.3414634146341463
2025-11-23 07:05:06.043116,0.6585365853658537,0.3414634146341463
2025-11-24 05:37:33.090116,0.6585365853658537,0.3414634146341463
2025-11-24 07:05:04.582046,0.6585365853658537,0.3414634146341463
2025-11-25 07:05:04.295819,0.6585365853658537,0.3414634146341463
2025-11-26 07:05:05.262212,0.6585365853658537,0.3414634146341463
2025-11-26 18:55:28.546278,0.6585365853658537,0.3414634146341463
2025-11-26 18:57:17.825840,0.6585365853658537,0.3414634146341463
2025-11-26 19:17:57.325537,0.6585365853658537,0.3414634146341463
