tstamp,Any Other,Coalition Majority,Coalition Minority,Labor Majority,Labor Minority
2025-01-22 07:05:06.010481,0.010712137488917285,0.24102309350063894,0.3098868345008215,0.10846039207528752,0.3299175424343347
2025-01-23 07:05:06.715571,0.010706716132103434,0.2477840019143938,0.30973000239299225,0.10202870667063274,0.3297505728898777
2025-01-24 07:05:05.896689,0.010706716132103434,0.2477840019143938,0.30973000239299225,0.10202870667063274,0.3297505728898777
2025-01-25 07:05:12.245007,0.010794922852096335,0.26496628818781914,0.3122816967927869,0.07948988645634575,0.33246720571095184
2025-01-26 07:05:05.876140,0.010794922852096335,0.26496628818781914,0.3122816967927869,0.07948988645634575,0.33246720571095184
2025-01-27 07:05:05.539583,0.010794922852096335,0.26496628818781914,0.3122816967927869,0.07948988645634575,0.33246720571095184
2025-01-28 07:05:06.198974,0.010794922852096335,0.26496628818781914,0.3122816967927869,0.07948988645634575,0.33246720571095184
2025-01-29 07:05:05.080724,0.010683066424362916,0.27913818721722455,0.3090458501333558,0.07211069836444968,0.32902219786060694
2025-01-30 07:05:06.652166,0.010722756012402478,0.29949766793262095,0.3101940132159288,0.05790288246697338,0.3216826803720743
2025-01-31 07:05:06.370584,0.010722756012402478,0.29949766793262095,0.3101940132159288,0.05790288246697338,0.3216826803720743
2025-02-01 07:05:05.452142,0.010722756012402478,0.29949766793262095,0.3101940132159288,0.05790288246697338,0.3216826803720743
2025-02-02 07:05:05.520518,0.010722756012402478,0.29949766793262095,0.3101940132159288,0.05790288246697338,0.3216826803720743
2025-02-03 07:05:06.525899,0.010722756012402478,0.29949766793262095,0.3101940132159288,0.05790288246697338,0.3216826803720743
2025-02-04 07:05:05.699248,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-04 08:36:56.498419,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-05 07:05:06.037424,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-06 07:05:05.617893,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-07 07:05:05.712909,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-08 07:05:06.127782,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-09 07:05:06.202940,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-10 07:05:05.512908,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-11 07:05:06.544675,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-12 07:05:06.476958,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-13 07:05:05.533207,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-14 07:05:06.034686,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-15 07:05:06.930440,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-16 07:05:05.497401,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-17 07:05:06.429780,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-18 07:05:05.678332,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-19 07:05:07.470744,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-20 07:05:05.641576,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-21 07:05:05.952192,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-22 07:05:08.301180,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-23 07:05:05.951212,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-23 14:30:40.285800,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-23 14:32:07.127714,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-24 07:05:08.604175,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-24 18:31:00.431794,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-24 18:38:05.701717,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-25 07:05:07.772730,0.010631728256140276,0.29695516853357323,0.3075607102669151,0.05741133258315749,0.32744106036021386
2025-02-26 07:05:06.647295,0.010701083739031897,0.3295771037496516,0.3009679801602721,0.05778585219077224,0.3009679801602721
2025-02-27 07:05:13.240973,0.010701083739031897,0.3295771037496516,0.3009679801602721,0.05778585219077224,0.3009679801602721
2025-02-27 15:04:15.621570,0.010701083739031897,0.3295771037496516,0.3009679801602721,0.05778585219077224,0.3009679801602721
2025-02-28 07:05:06.027916,0.010701083739031897,0.3295771037496516,0.3009679801602721,0.05778585219077224,0.3009679801602721
2025-03-01 07:05:07.509873,0.010701083739031897,0.3295771037496516,0.3009679801602721,0.05778585219077224,0.3009679801602721
